Organisation,URL,Tech Stacks

52° North GmbH,https://summerofcode.withgoogle.com/archive/2020/organizations/6309633414660096/,"['java', 'android', 'javascript', 'python', 'react']"

Android Graphics Tools Team,https://summerofcode.withgoogle.com/archive/2020/organizations/5158050039595008/,"['vulkan', 'opengl', 'c/c++', 'java', 'python 3']"

caMicroscope,https://summerofcode.withgoogle.com/archive/2020/organizations/5978557471260672/,"['javascript', 'python', 'java', 'medical imaging', 'tensorflow']"

Catrobat,https://summerofcode.withgoogle.com/archive/2020/organizations/5707287336845312/,"['java', 'android', 'swift', 'ios', 'php']"

Checker Framework,https://summerofcode.withgoogle.com/archive/2020/organizations/5983189996142592/,['java']

Checkstyle,https://summerofcode.withgoogle.com/archive/2020/organizations/4788704964509696/,"['java', 'antlr', 'xpath']"

DBpedia,https://summerofcode.withgoogle.com/archive/2020/organizations/4792495004712960/,"['python', 'scala', 'java', 'javascript', 'rdf']"

Eclipse Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/4711920076062720/,"['eclipsejavaide', 'jakartaee', 'java', 'che', 'deep learning']"

Elastic,https://summerofcode.withgoogle.com/archive/2020/organizations/4573440532545536/,"['java', 'react', 'node.js', 'golang']"

Global Alliance for Genomics and Health,https://summerofcode.withgoogle.com/archive/2020/organizations/5086080816119808/,"['java', 'python', 'node.js', 'mongodb', 'spring']"

Hazelcast,https://summerofcode.withgoogle.com/archive/2020/organizations/6487112334966784/,"['java', 'distributed systems']"

INCF,https://summerofcode.withgoogle.com/archive/2020/organizations/6550809786974208/,"['python', 'c/c++', 'java', 'tensorflow', 'javascript']"

JBoss Community,https://summerofcode.withgoogle.com/archive/2020/organizations/6073291866898432/,"['java', 'golang', 'react']"

Jenkins project,https://summerofcode.withgoogle.com/archive/2020/organizations/5087283272744960/,"['java', 'javascript', 'docker', 'kubernetes', 'go']"

LibreHealth,https://summerofcode.withgoogle.com/archive/2020/organizations/5842452507787264/,"['java', 'javascript', 'python 3', 'android', 'php']"

LibreOffice,https://summerofcode.withgoogle.com/archive/2020/organizations/6094595844210688/,"['c++', 'python', 'java']"

Liquid Galaxy project,https://summerofcode.withgoogle.com/archive/2020/organizations/6406567974404096/,"['python', 'vue', 'html', 'javascript', 'java']"

MariaDB Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5950846174494720/,"['mariadb', 'mysql', 'c', 'c++', 'java']"

MIT App Inventor,https://summerofcode.withgoogle.com/archive/2020/organizations/6125092997693440/,"['javascript', 'java', 'google web toolkit', 'android', 'junit']"

MZmine,https://summerofcode.withgoogle.com/archive/2020/organizations/6328123651522560/,"['java', 'javafx']"

National Resource for Network Biology (NRNB),https://summerofcode.withgoogle.com/archive/2020/organizations/4549302816342016/,"['java', 'javascript', 'python', 'r', 'rest']"

Netty,https://summerofcode.withgoogle.com/archive/2020/organizations/5983819074633728/,"['java', 'jni', 'c']"

Open Roberta,https://summerofcode.withgoogle.com/archive/2020/organizations/4541796253696000/,"['java', 'javascript']"

OpenMRS,https://summerofcode.withgoogle.com/archive/2020/organizations/6119294959616000/,"['java', 'javascript', 'spring', 'mysql', 'android']"

OpenRefine,https://summerofcode.withgoogle.com/archive/2020/organizations/6727913602285568/,"['java', 'javascript']"

OpenStreetMap,https://summerofcode.withgoogle.com/archive/2020/organizations/5531645890789376/,"['javascript', 'java', 'python', 'sql', 'docker']"

OSGeo,https://summerofcode.withgoogle.com/archive/2020/organizations/5355444958134272/,"['c/c++', 'python', 'sql', 'open source databases', 'java']"

Processing Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5988762313555968/,"['python', 'android', 'opengl', 'java', 'javascript']"

Ruby,https://summerofcode.withgoogle.com/archive/2020/organizations/5633129894641664/,"['ruby', 'c', 'java']"

SPDX,https://summerofcode.withgoogle.com/archive/2020/organizations/6283949946437632/,"['python', 'java', 'golang', 'node.js', 'xml']"

The Apache Software Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6679967372410880/,"['java', 'c++']"

The Mifos Initiative,https://summerofcode.withgoogle.com/archive/2020/organizations/6055344943398912/,"['android', 'java', 'angular', 'mysql', 'spring']"

The Terasology Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/4504833932918784/,"['java', 'lwgjl', 'opengl', 'blender', 'gradle']"

